id,title,author,genre,description,rating,features
23,Sojourn,R. A. Salvatore,Fantasy,Description not available.,9.1,Sojourn R. A. Salvatore Fantasy Description not available.
24,Pawn of Prophecy,David Eddings,Fantasy,Description not available.,9.3,Pawn of Prophecy David Eddings Fantasy Description not available.
25,Gardens of the Moon,Steven Erikson,Fantasy,Description not available.,8.0,Gardens of the Moon Steven Erikson Fantasy Description not available.
26,The Shadow Rising,Robert Jordan,Fantasy,Description not available.,8.7,The Shadow Rising Robert Jordan Fantasy Description not available.
27,The Shadow of the Torturer,Gene Wolfe,Fantasy,Description not available.,8.9,The Shadow of the Torturer Gene Wolfe Fantasy Description not available.
28,Miecz przeznaczenia,Andrzej Sapkowski,Fantasy,Description not available.,7.0,Miecz przeznaczenia Andrzej Sapkowski Fantasy Description not available.
29,Ship of Magic,Robin Hobb,Fantasy,Description not available.,9.6,Ship of Magic Robin Hobb Fantasy Description not available.
30,Powerless,Lauren Roberts,Fantasy,Description not available.,7.3,Powerless Lauren Roberts Fantasy Description not available.
31,The Emperor's Soul,Brandon Sanderson,Fantasy,Description not available.,9.3,The Emperor's Soul Brandon Sanderson Fantasy Description not available.
32,Exile,R. A. Salvatore,Fantasy,Description not available.,8.8,Exile R. A. Salvatore Fantasy Description not available.
33,The Fires of Heaven,Robert Jordan,Fantasy,Description not available.,7.8,The Fires of Heaven Robert Jordan Fantasy Description not available.
34,Best served cold,Joe Abercrombie,Fantasy,Description not available.,6.2,Best served cold Joe Abercrombie Fantasy Description not available.
35,Wolves of the Calla,Stephen King,Fantasy,Description not available.,8.0,Wolves of the Calla Stephen King Fantasy Description not available.
36,Ostatnie Życzenie,Andrzej Sapkowski,Fantasy,Description not available.,8.2,Ostatnie Życzenie Andrzej Sapkowski Fantasy Description not available.
37,House of Earth and Blood,Sarah J. Maas,Fantasy,Description not available.,8.5,House of Earth and Blood Sarah J. Maas Fantasy Description not available.
38,Enchanters' End Game (The Belgariad),David Eddings,Fantasy,Description not available.,9.8,Enchanters' End Game (The Belgariad) David Eddings Fantasy Description not available.
39,The Great Hunt (The Wheel of Time Book 2),Robert Jordan,Fantasy,Description not available.,6.3,The Great Hunt (The Wheel of Time Book 2) Robert Jordan Fantasy Description not available.
40,On a pale horse,Piers Anthony,Fantasy,Description not available.,6.8,On a pale horse Piers Anthony Fantasy Description not available.
41,Assassin's Apprentice,Robin Hobb,Fantasy,Description not available.,8.9,Assassin's Apprentice Robin Hobb Fantasy Description not available.
42,The Way of Shadows,Brent Weeks,Fantasy,Description not available.,7.9,The Way of Shadows Brent Weeks Fantasy Description not available.
43,Onyx Storm,Rebecca Yarros,Fantasy,Description not available.,6.5,Onyx Storm Rebecca Yarros Fantasy Description not available.
44,The ones who walk away from Omelas,Ursula K. Le Guin,Fantasy,Description not available.,9.7,The ones who walk away from Omelas Ursula K. Le Guin Fantasy Description not available.
45,Once Upon a Broken Heart,Stephanie Garber,Fantasy,Description not available.,9.8,Once Upon a Broken Heart Stephanie Garber Fantasy Description not available.
46,A Spell for Chameleon,Piers Anthony,Fantasy,Description not available.,9.6,A Spell for Chameleon Piers Anthony Fantasy Description not available.
47,Iron Flame,Rebecca Yarros,Fantasy,Description not available.,6.0,Iron Flame Rebecca Yarros Fantasy Description not available.
48,Arcanum Unbounded,Brandon Sanderson,Fantasy,Description not available.,6.5,Arcanum Unbounded Brandon Sanderson Fantasy Description not available.
49,Stellarlune,Shannon Messenger,Fantasy,Description not available.,7.8,Stellarlune Shannon Messenger Fantasy Description not available.
50,Midnight,Erin Hunter,Fantasy,Description not available.,9.9,Midnight Erin Hunter Fantasy Description not available.
51,Mort,Terry Pratchett,Fantasy,Description not available.,7.5,Mort Terry Pratchett Fantasy Description not available.
52,The Ballad of Never After,Stephanie Garber,Fantasy,Description not available.,9.4,The Ballad of Never After Stephanie Garber Fantasy Description not available.
53,The City of Ember (The First Book of Ember),Jeanne DuPrau,Fantasy,Description not available.,9.3,The City of Ember (The First Book of Ember) Jeanne DuPrau Fantasy Description not available.
54,Neverwhere,Neil Gaiman,Fantasy,Description not available.,9.0,Neverwhere Neil Gaiman Fantasy Description not available.
55,A Clash of Kings,George R. R. Martin,Fantasy,Description not available.,9.5,A Clash of Kings George R. R. Martin Fantasy Description not available.
56,"New Spring (The Wheel of Time, Book 0)",Robert Jordan,Fantasy,Description not available.,8.4,"New Spring (The Wheel of Time, Book 0) Robert Jordan Fantasy Description not available."
57,Um casamento arranjado,Zana Kheiron,romance,Description not available.,8.6,Um casamento arranjado Zana Kheiron romance Description not available.
58,Twisted Games,Ana Huang,romance,Description not available.,6.4,Twisted Games Ana Huang romance Description not available.
59,Twisted Love,Ana Huang,romance,Description not available.,7.6,Twisted Love Ana Huang romance Description not available.
60,Twisted Hate,Ana Huang,romance,Description not available.,6.7,Twisted Hate Ana Huang romance Description not available.
61,Married at first sight,Gu Lingfei,romance,Description not available.,7.0,Married at first sight Gu Lingfei romance Description not available.
62,Corrupt,Penelope Douglas,romance,Description not available.,7.5,Corrupt Penelope Douglas romance Description not available.
63,Punk 57,Penelope Douglas,romance,Description not available.,9.4,Punk 57 Penelope Douglas romance Description not available.
64,It Starts with Us,Colleen Hoover,romance,Description not available.,7.3,It Starts with Us Colleen Hoover romance Description not available.
65,The Sweetest Oblivion,Danielle Lori,romance,Description not available.,7.9,The Sweetest Oblivion Danielle Lori romance Description not available.
66,Heated Rivalry,Rachel Reid,romance,Description not available.,7.1,Heated Rivalry Rachel Reid romance Description not available.
67,Twisted Lies,Ana Huang,romance,Description not available.,9.3,Twisted Lies Ana Huang romance Description not available.
68,It Ends With Us,Colleen Hoover,romance,Description not available.,7.1,It Ends With Us Colleen Hoover romance Description not available.
69,Breaking Point,Emma Darcy,romance,Description not available.,7.2,Breaking Point Emma Darcy romance Description not available.
70,Devil and the Deep Sea,Sara Craven,romance,Description not available.,6.3,Devil and the Deep Sea Sara Craven romance Description not available.
71,Hopeless,Colleen Hoover,romance,Description not available.,6.2,Hopeless Colleen Hoover romance Description not available.
72,Before December,Joana Marcus,romance,Description not available.,8.1,Before December Joana Marcus romance Description not available.
73,A Man Possessed,Penny Jordan,romance,Description not available.,6.7,A Man Possessed Penny Jordan romance Description not available.
74,Destroy Me,Tahereh Mafi,romance,Description not available.,7.0,Destroy Me Tahereh Mafi romance Description not available.
75,Fever,Charlotte Lamb,romance,Description not available.,6.0,Fever Charlotte Lamb romance Description not available.
76,Bought with His Name,Penny Jordan,romance,Description not available.,8.7,Bought with His Name Penny Jordan romance Description not available.
77,To Speak of Love,Claudia Jameson,romance,Description not available.,10.0,To Speak of Love Claudia Jameson romance Description not available.
78,Uncertain Destiny,Carole Mortimer,romance,Description not available.,8.4,Uncertain Destiny Carole Mortimer romance Description not available.
79,The Marriage Deal,Sara Craven,romance,Description not available.,7.7,The Marriage Deal Sara Craven romance Description not available.
80,Falcon's Prey,Penny Jordan,romance,Description not available.,9.3,Falcon's Prey Penny Jordan romance Description not available.
81,To Catch A Butterfly,Marjorie Lewty,romance,Description not available.,7.3,To Catch A Butterfly Marjorie Lewty romance Description not available.
82,Confirmed bachelor,Roberta Leigh,romance,Description not available.,8.4,Confirmed bachelor Roberta Leigh romance Description not available.
83,Priest,Sierra Simone,romance,Description not available.,7.2,Priest Sierra Simone romance Description not available.
84,King of Pride,Ana Huang,romance,Description not available.,9.4,King of Pride Ana Huang romance Description not available.
85,Betrayal in Bali,Sally Wentworth,romance,Description not available.,7.9,Betrayal in Bali Sally Wentworth romance Description not available.
86,Not Once But Twice,Betty Neels,romance,Description not available.,8.3,Not Once But Twice Betty Neels romance Description not available.
87,Taggart's Woman,Carole Mortimer,romance,Description not available.,8.2,Taggart's Woman Carole Mortimer romance Description not available.
88,Temporary Bride,P. Wilson,romance,Description not available.,8.4,Temporary Bride P. Wilson romance Description not available.
89,Season of Mists,Anne Mather,romance,Description not available.,6.1,Season of Mists Anne Mather romance Description not available.
90,Out of Control,Charlotte Lamb,romance,Description not available.,7.3,Out of Control Charlotte Lamb romance Description not available.
91,Past Passion,Penny Jordan,romance,Description not available.,7.3,Past Passion Penny Jordan romance Description not available.
92,Icebreaker,Hannah Grace,romance,Description not available.,7.0,Icebreaker Hannah Grace romance Description not available.
93,Without Trust,Penny Jordan,romance,Description not available.,7.6,Without Trust Penny Jordan romance Description not available.
94,Lover's Touch,Penny Jordan,romance,Description not available.,9.1,Lover's Touch Penny Jordan romance Description not available.
95,Contra Su Voluntad,Sara Craven,romance,Description not available.,7.8,Contra Su Voluntad Sara Craven romance Description not available.
96,Impossible Bargain,Patricia Wilson,romance,Description not available.,6.2,Impossible Bargain Patricia Wilson romance Description not available.
97,When Two Paths Meet,Betty Neels,romance,Description not available.,6.7,When Two Paths Meet Betty Neels romance Description not available.
98,Dark Lover,J. R. Ward,romance,Description not available.,7.4,Dark Lover J. R. Ward romance Description not available.
99,Never Count Tomorrow,Daphne Clair,romance,Description not available.,9.4,Never Count Tomorrow Daphne Clair romance Description not available.
100,No Alternative,Margaret Way,romance,Description not available.,9.4,No Alternative Margaret Way romance Description not available.
101,The Fine Print,Lauren Asher,romance,Description not available.,7.4,The Fine Print Lauren Asher romance Description not available.
102,A High Price to Pay,Sara Craven,romance,Description not available.,8.3,A High Price to Pay Sara Craven romance Description not available.
103,Twist of Fate,Charlotte Lamb,romance,Description not available.,7.6,Twist of Fate Charlotte Lamb romance Description not available.
104,The Girl with Green Eyes,Betty Neels,romance,Description not available.,8.0,The Girl with Green Eyes Betty Neels romance Description not available.
105,Fire with Fire,Penny Jordan,romance,Description not available.,7.9,Fire with Fire Penny Jordan romance Description not available.
113,The Power of Your Subconscious Mind,Joseph Murphy,self_help,Description not available.,8.9,The Power of Your Subconscious Mind Joseph Murphy self_help Description not available.
114,Don't Believe Everything You Think,Joseph Nguyen,self_help,Description not available.,9.7,Don't Believe Everything You Think Joseph Nguyen self_help Description not available.
115,12 Rules for Life,Jordan B. Peterson,self_help,Description not available.,6.7,12 Rules for Life Jordan B. Peterson self_help Description not available.
116,The Mountain Is You,Brianna Wiest,self_help,Description not available.,6.8,The Mountain Is You Brianna Wiest self_help Description not available.
117,A Gentle Reminder,Bianca Sparacino,self_help,Description not available.,6.7,A Gentle Reminder Bianca Sparacino self_help Description not available.
118,"When You're Ready, This Is How You Heal",Brianna Wiest,self_help,Description not available.,6.5,"When You're Ready, This Is How You Heal Brianna Wiest self_help Description not available."
119,Eat That Frog! 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,self_help,Description not available.,9.3,Eat That Frog! 21 Great Ways to Stop Procrastinating and Get More Done in Less Time Brian Tracy self_help Description not available.
120,101 Essays That Will Change The Way You Think,Brianna Wiest,self_help,Description not available.,7.3,101 Essays That Will Change The Way You Think Brianna Wiest self_help Description not available.
121,Meditations,Marcus Aurelius,self_help,Description not available.,6.2,Meditations Marcus Aurelius self_help Description not available.
122,Psycho-cybernetics,Maxwell Maltz,self_help,Description not available.,6.6,Psycho-cybernetics Maxwell Maltz self_help Description not available.
123,嫌われる勇気,Ichirō Kishimi,self_help,Description not available.,10.0,嫌われる勇気 Ichirō Kishimi self_help Description not available.
124,The Obstacle is the Way,Ryan Holiday,self_help,Description not available.,6.8,The Obstacle is the Way Ryan Holiday self_help Description not available.
125,You Are a Badass,Jen Sincero,self_help,Description not available.,7.5,You Are a Badass Jen Sincero self_help Description not available.
126,Control Your Mind and Master Your Feelings,Eric Robertson,self_help,Description not available.,6.8,Control Your Mind and Master Your Feelings Eric Robertson self_help Description not available.
127,What every BODY is saying,Joe Navarro,self_help,Description not available.,7.8,What every BODY is saying Joe Navarro self_help Description not available.
128,Breaking the habit of being yourself,Joe Dispenza,self_help,Description not available.,7.3,Breaking the habit of being yourself Joe Dispenza self_help Description not available.
129,Workbook for the Mountain Is You,Smart Reads,self_help,Description not available.,7.4,Workbook for the Mountain Is You Smart Reads self_help Description not available.
130,I Have to Tell You Something,Zara Bas,self_help,Description not available.,7.1,I Have to Tell You Something Zara Bas self_help Description not available.
131,Outwitting the devil,Napoleon Hill,self_help,Description not available.,7.1,Outwitting the devil Napoleon Hill self_help Description not available.
132,365 Days with Self-Discipline,Martin Meadows,self_help,Description not available.,6.1,365 Days with Self-Discipline Martin Meadows self_help Description not available.
133,Lost Book of Herbal Remedies,Nicole Apelian,self_help,Description not available.,6.7,Lost Book of Herbal Remedies Nicole Apelian self_help Description not available.
134,As a man thinketh,James Allen,self_help,Description not available.,7.7,As a man thinketh James Allen self_help Description not available.
135,The Art of Public Speaking,Dale Carnegie,self_help,Description not available.,7.0,The Art of Public Speaking Dale Carnegie self_help Description not available.
136,The untethered soul,Michael A. Singer,self_help,Description not available.,9.2,The untethered soul Michael A. Singer self_help Description not available.
137,"The art of money getting, or, Golden rules for money getting",P. T. Barnum,self_help,Description not available.,7.1,"The art of money getting, or, Golden rules for money getting P. T. Barnum self_help Description not available."
138,Tiny Habits,B. J. Fogg,self_help,Description not available.,8.1,Tiny Habits B. J. Fogg self_help Description not available.
139,Dopamine Detox,Blake Rabizadeh,self_help,Description not available.,6.3,Dopamine Detox Blake Rabizadeh self_help Description not available.
140,You can heal your life,Louise L. Hay,self_help,Description not available.,7.0,You can heal your life Louise L. Hay self_help Description not available.
141,The Rudest Book Ever,Shwetabh Gangwar,self_help,Description not available.,6.7,The Rudest Book Ever Shwetabh Gangwar self_help Description not available.
142,How to live on 24 hours a day,Arnold Bennett,self_help,Description not available.,8.2,How to live on 24 hours a day Arnold Bennett self_help Description not available.
143,You're Too Good to Feel This Bad,Nate Dallas,self_help,Description not available.,9.5,You're Too Good to Feel This Bad Nate Dallas self_help Description not available.
144,The Compound effect,Darren Hardy,self_help,Description not available.,9.8,The Compound effect Darren Hardy self_help Description not available.
145,Think Like a Monk,Jay Shetty,self_help,Description not available.,6.4,Think Like a Monk Jay Shetty self_help Description not available.
146,Buy Yourself the Damn Flowers,Tam Kaur,self_help,Description not available.,6.0,Buy Yourself the Damn Flowers Tam Kaur self_help Description not available.
147,Forgotten Home Apothecary,Nicole Apelian,self_help,Description not available.,7.0,Forgotten Home Apothecary Nicole Apelian self_help Description not available.
148,Glucose Revolution,Jessie Inchauspé,self_help,Description not available.,6.6,Glucose Revolution Jessie Inchauspé self_help Description not available.
149,No More Mr. Nice Guy,Robert A. Glover,self_help,Description not available.,9.2,No More Mr. Nice Guy Robert A. Glover self_help Description not available.
150,The magic of believing,Claude M. Bristol,self_help,Description not available.,8.5,The magic of believing Claude M. Bristol self_help Description not available.
151,3am Questions,Annika M. Zimmermann,self_help,Description not available.,6.8,3am Questions Annika M. Zimmermann self_help Description not available.
152,The Secret,Rhonda Byrne,self_help,Description not available.,9.1,The Secret Rhonda Byrne self_help Description not available.
153,"Goodbye, things",Fumio Sasaki,self_help,Description not available.,7.6,"Goodbye, things Fumio Sasaki self_help Description not available."
154,Stop Overthinking,Nick Trenton,self_help,Description not available.,8.2,Stop Overthinking Nick Trenton self_help Description not available.
155,The Monk Who Sold His Ferrari,Robin S. Sharma,self_help,Description not available.,9.5,The Monk Who Sold His Ferrari Robin S. Sharma self_help Description not available.
156,The highly sensitive person,Elaine N. Aron,self_help,Description not available.,9.6,The highly sensitive person Elaine N. Aron self_help Description not available.
157,The art of persuasion,Bob Burg,self_help,Description not available.,9.3,The art of persuasion Bob Burg self_help Description not available.
158,The Book,Alan Watts,self_help,Description not available.,6.3,The Book Alan Watts self_help Description not available.
159,Self-esteem,Matthew McKay,self_help,Description not available.,6.9,Self-esteem Matthew McKay self_help Description not available.
160,477 Frases de Poder,Alejandro Cardona,self_help,Description not available.,9.4,477 Frases de Poder Alejandro Cardona self_help Description not available.
161,The Definitive Book of Body Language,Allan Pease,self_help,Description not available.,9.2,The Definitive Book of Body Language Allan Pease self_help Description not available.
162,The Cruel Prince,Holly Black,fantasy,Description not available.,0.0,The Cruel Prince Holly Black fantasy Description not available.
163,The Last Unicorn,Peter S. Beagle,fantasy,Description not available.,0.0,The Last Unicorn Peter S. Beagle fantasy Description not available.
164,The Eyes of the Dragon,Stephen King,fantasy,Description not available.,0.0,The Eyes of the Dragon Stephen King fantasy Description not available.
165,The Road to Oz,L. Frank Baum,fantasy,Description not available.,0.0,The Road to Oz L. Frank Baum fantasy Description not available.
166,Fire and Ice,Erin Hunter,fantasy,Description not available.,0.0,Fire and Ice Erin Hunter fantasy Description not available.
167,The Hobbit,J.R.R. Tolkien,fantasy,Description not available.,0.0,The Hobbit J.R.R. Tolkien fantasy Description not available.
168,Knife of Dreams,Robert Jordan,fantasy,Description not available.,0.0,Knife of Dreams Robert Jordan fantasy Description not available.
169,Sourcery,Terry Pratchett,fantasy,Description not available.,0.0,Sourcery Terry Pratchett fantasy Description not available.
170,Interesting Times,Terry Pratchett,fantasy,Description not available.,0.0,Interesting Times Terry Pratchett fantasy Description not available.
171,Haunting Adeline,H. D. Carlton,fantasy,Description not available.,0.0,Haunting Adeline H. D. Carlton fantasy Description not available.
172,The Invisible Life of Addie LaRue,V. E. Schwab,fantasy,Description not available.,0.0,The Invisible Life of Addie LaRue V. E. Schwab fantasy Description not available.
173,The Darkest Hour,Erin Hunter,fantasy,Description not available.,0.0,The Darkest Hour Erin Hunter fantasy Description not available.
174,Unfinished Tales of Númenor and Middle-earth,J.R.R. Tolkien,fantasy,Description not available.,0.0,Unfinished Tales of Númenor and Middle-earth J.R.R. Tolkien fantasy Description not available.
175,Gideon the Ninth,Tamsyn Muir,fantasy,Description not available.,0.0,Gideon the Ninth Tamsyn Muir fantasy Description not available.
176,Equal Rites,Terry Pratchett,fantasy,Description not available.,0.0,Equal Rites Terry Pratchett fantasy Description not available.
177,Exile,Shannon Messenger,fantasy,Description not available.,0.0,Exile Shannon Messenger fantasy Description not available.
178,Dragons of Winter Night,Margaret Weis,fantasy,Description not available.,0.0,Dragons of Winter Night Margaret Weis fantasy Description not available.
179,The Path of Daggers,Robert Jordan,fantasy,Description not available.,0.0,The Path of Daggers Robert Jordan fantasy Description not available.
180,A Court of Silver Flames,Sarah J. Maas,fantasy,Description not available.,0.0,A Court of Silver Flames Sarah J. Maas fantasy Description not available.
181,The Crystal Shard,R. A. Salvatore,fantasy,Description not available.,0.0,The Crystal Shard R. A. Salvatore fantasy Description not available.
182,"Deadhouse Gates (The Malazan Book of the Fallen, Book 2)",Steven Erikson,fantasy,Description not available.,0.0,"Deadhouse Gates (The Malazan Book of the Fallen, Book 2) Steven Erikson fantasy Description not available."
183,The Last Battle,C. S. Lewis,fantasy,Description not available.,0.0,The Last Battle C. S. Lewis fantasy Description not available.
184,Rising Storm,Erin Hunter,fantasy,Description not available.,0.0,Rising Storm Erin Hunter fantasy Description not available.
185,Homeland,R. A. Salvatore,fantasy,Description not available.,0.0,Homeland R. A. Salvatore fantasy Description not available.
186,The Source of Magic,Piers Anthony,fantasy,Description not available.,0.0,The Source of Magic Piers Anthony fantasy Description not available.
187,Last Argument of Kings,Joe Abercrombie,fantasy,Description not available.,0.0,Last Argument of Kings Joe Abercrombie fantasy Description not available.
188,Storm Front,Jim Butcher,fantasy,Description not available.,0.0,Storm Front Jim Butcher fantasy Description not available.
189,Wieża jaskółki,Andrzej Sapkowski,fantasy,Description not available.,0.0,Wieża jaskółki Andrzej Sapkowski fantasy Description not available.
190,Oathbringer,Brandon Sanderson,fantasy,Description not available.,0.0,Oathbringer Brandon Sanderson fantasy Description not available.
191,Czas pogardy,Andrzej Sapkowski,fantasy,Description not available.,0.0,Czas pogardy Andrzej Sapkowski fantasy Description not available.
192,Song of Susannah,Stephen King,fantasy,Description not available.,0.0,Song of Susannah Stephen King fantasy Description not available.
193,Wyrd Sisters,Terry Pratchett,fantasy,Description not available.,0.0,Wyrd Sisters Terry Pratchett fantasy Description not available.
194,Witches Abroad,Terry Pratchett,fantasy,Description not available.,0.0,Witches Abroad Terry Pratchett fantasy Description not available.
195,Babel,R. F. Kuang,fantasy,Description not available.,0.0,Babel R. F. Kuang fantasy Description not available.
196,The Wise Man’s Fear,Patrick Rothfuss,fantasy,Description not available.,0.0,The Wise Man’s Fear Patrick Rothfuss fantasy Description not available.
197,Lords and Ladies,Terry Pratchett,fantasy,Description not available.,0.0,Lords and Ladies Terry Pratchett fantasy Description not available.
198,Nevernight,Jay Kristoff,fantasy,Description not available.,0.0,Nevernight Jay Kristoff fantasy Description not available.
199,The Drawing of the Three,Stephen King,fantasy,Description not available.,0.0,The Drawing of the Three Stephen King fantasy Description not available.
200,Red Seas Under Red Skies (Gentlemen Bastards #2),Scott Lynch,fantasy,Description not available.,0.0,Red Seas Under Red Skies (Gentlemen Bastards #2) Scott Lynch fantasy Description not available.
201,Heir of Fire,Sarah J. Maas,fantasy,Description not available.,0.0,Heir of Fire Sarah J. Maas fantasy Description not available.
202,Queen of Shadows,Sarah J. Maas,fantasy,Description not available.,0.0,Queen of Shadows Sarah J. Maas fantasy Description not available.
203,House of Chains,Steven Erikson,fantasy,Description not available.,0.0,House of Chains Steven Erikson fantasy Description not available.
204,Crossroads of Twilight,Robert Jordan,fantasy,Description not available.,0.0,Crossroads of Twilight Robert Jordan fantasy Description not available.
205,A Game of Thrones,George R. R. Martin,fantasy,Description not available.,0.0,A Game of Thrones George R. R. Martin fantasy Description not available.
206,The Chronicles of Narnia,C. S. Lewis,fantasy,Description not available.,0.0,The Chronicles of Narnia C. S. Lewis fantasy Description not available.
207,A Darker Shade of Magic,V.E. Schwab,fantasy,Description not available.,0.0,A Darker Shade of Magic V.E. Schwab fantasy Description not available.
208,Rhythm of War,Brandon Sanderson,fantasy,Description not available.,0.0,Rhythm of War Brandon Sanderson fantasy Description not available.
209,The Light Fantastic,Terry Pratchett,fantasy,Description not available.,0.0,The Light Fantastic Terry Pratchett fantasy Description not available.
210,Mad Ship,Robin Hobb,fantasy,Description not available.,0.0,Mad Ship Robin Hobb fantasy Description not available.
211,A Torre Negra,Stephen King,fantasy,Description not available.,0.0,A Torre Negra Stephen King fantasy Description not available.
212,Howl's Moving Castle,Diana Wynne Jones,fantasy,Description not available.,0.0,Howl's Moving Castle Diana Wynne Jones fantasy Description not available.
213,Good Omens,Terry Pratchett,fantasy,Description not available.,0.0,Good Omens Terry Pratchett fantasy Description not available.
214,"Proven Guilty (The Dresden Files, Book 8)",Jim Butcher,fantasy,Description not available.,0.0,"Proven Guilty (The Dresden Files, Book 8) Jim Butcher fantasy Description not available."
215,Belgarath the sorcerer,David Eddings,fantasy,Description not available.,0.0,Belgarath the sorcerer David Eddings fantasy Description not available.
216,A Gathering of Shadows,V.E. Schwab,fantasy,Description not available.,0.0,A Gathering of Shadows V.E. Schwab fantasy Description not available.
217,Dragons of Autumn Twilight,Margaret Weis,fantasy,Description not available.,0.0,Dragons of Autumn Twilight Margaret Weis fantasy Description not available.
218,The Starless Sea,Erin Morgenstern,fantasy,Description not available.,0.0,The Starless Sea Erin Morgenstern fantasy Description not available.
219,The Ten Thousand Doors of January,Alix E. Harrow,fantasy,Description not available.,0.0,The Ten Thousand Doors of January Alix E. Harrow fantasy Description not available.
220,War of the Twins,Margaret Weis,fantasy,Description not available.,0.0,War of the Twins Margaret Weis fantasy Description not available.
221,Forest of Secrets,Erin Hunter,fantasy,Description not available.,0.0,Forest of Secrets Erin Hunter fantasy Description not available.
222,The Name of the Wind,Patrick Rothfuss,fantasy,Description not available.,0.0,The Name of the Wind Patrick Rothfuss fantasy Description not available.
223,Stone of Tears,Terry Goodkind,fantasy,Description not available.,0.0,Stone of Tears Terry Goodkind fantasy Description not available.
224,Starlight,Erin Hunter,fantasy,Description not available.,0.0,Starlight Erin Hunter fantasy Description not available.
225,Winter's Heart,Robert Jordan,fantasy,Description not available.,0.0,Winter's Heart Robert Jordan fantasy Description not available.
226,The Sword of Shannara,Terry Brooks,fantasy,Description not available.,0.0,The Sword of Shannara Terry Brooks fantasy Description not available.
227,The Magic City,Edith Nesbit,fantasy,Description not available.,0.0,The Magic City Edith Nesbit fantasy Description not available.
228,Mistress of the Empire,Raymond E. Feist,fantasy,Description not available.,0.0,Mistress of the Empire Raymond E. Feist fantasy Description not available.
229,Fool Moon,Jim Butcher,fantasy,Description not available.,0.0,Fool Moon Jim Butcher fantasy Description not available.
230,Words of Radiance,Brandon Sanderson,fantasy,Description not available.,0.0,Words of Radiance Brandon Sanderson fantasy Description not available.
231,The Fourth Apprentice,Erin Hunter,fantasy,Description not available.,0.0,The Fourth Apprentice Erin Hunter fantasy Description not available.
232,A Curse for True Love,Stephanie Garber,fantasy,Description not available.,0.0,A Curse for True Love Stephanie Garber fantasy Description not available.
233,Pani Jeziora,Andrzej Sapkowski,fantasy,Description not available.,0.0,Pani Jeziora Andrzej Sapkowski fantasy Description not available.
234,Shadows of Self,Brandon Sanderson,fantasy,Description not available.,0.0,Shadows of Self Brandon Sanderson fantasy Description not available.
235,Empire of Storms,Sarah J. Maas,fantasy,Description not available.,0.0,Empire of Storms Sarah J. Maas fantasy Description not available.
236,House of Sky and Breath,Sarah J. Maas,fantasy,Description not available.,0.0,House of Sky and Breath Sarah J. Maas fantasy Description not available.
237,Fool's fate,Robin Hobb,fantasy,Description not available.,0.0,Fool's fate Robin Hobb fantasy Description not available.
238,Defy Me (Shatter Me),Tahereh Mafi,fantasy,Description not available.,0.0,Defy Me (Shatter Me) Tahereh Mafi fantasy Description not available.
